,title,contents,period,location,page_url
78,춘천공연예술제,십시일반 마음을 모아 만드는 순수 공연예술 축제,2023.08.08 ~ 2023.08.12,강원특별자치도 춘천시 춘천로 112 축제극장몸짓  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=5f24fedd-ea36-4d9c-b636-357c58363826
79,Beer Fest Gwangju,,2023.08.09 ~ 2023.08.12,광주광역시 서구 상무누리로 30 (치평동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=91a8835a-2a5b-4033-99af-c4551ba2493a
80,군산문화재야행,군산 근대역사지구에 방문하는 모든 방문&관광객들이 함께 즐기는 여름밤 문화재 향유 행사,2023.08.10 ~ 2023.08.12,전라북도 군산시 구영2길 9 군산 내항 및 원도심 일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9c61604a-7abf-4397-a916-8b6d64a70447
81,부안문화재야행,행복을 꿈꾸는 당산길	,2023.08.10 ~ 2023.08.12,전라북도 부안군 당산로 91 부안군청  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=4a26d8a4-1577-4b87-84ca-7bb44c1945da
82,사천시 삼천포항 자연산 전어축제,"한여름 전어의 유혹! 잡수시고, 노시고, 주무시고 가이소! ",2023.08.10 ~ 2023.08.13,경상남도 사천시 팔포1길 65 팔포유료주차장사무실  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f981ad89-bd88-4047-9639-8d887475f4cd
83,누들대전 페스티벌,,2023.08.11 ~ 2023.08.13,대전광역시 동구 수향길 25   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a8033994-bf08-4795-8ffb-a3bf947547c8
84,대전 0시 축제,,2023.08.11 ~ 2023.08.17,대전광역시 중구 중앙로 148   대전 중구 중앙로 일원(대전역~옛 충남도청),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=97661435-49f6-4761-a07c-723490310b1c
85,대전역마을 도시재생 거리문화축제,<대전 0시 축제>와 함께하는 웰빙·레트로·한방 축제!,2023.08.11 ~ 2023.08.17,대전광역시 동구 태전로 1   대전역마을 도시재생 활성화지역  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=1bef95c3-988e-475b-ab45-3620934404df
86,수원 문화재 야행,"기억의 문이 열리는, 2023 수원 문화재 야행(夜行)	",2023.08.11 ~ 2023.08.13,경기도 수원시 팔달구 정조로 825 화성행궁 일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=61868dbd-e352-418c-a6f3-9cd0684c5cf7
87,전국해양스포츠제전,해양도시 포항시에서 개최하는 시민참여형 해양 레저 스포츠 체험 행사,2023.08.11 ~ 2023.08.14,"경상북도 포항시 북구 해안로 147   포항영일대해수욕장, 포항송도해수욕장",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7e855ef8-1338-4900-a324-f3d9dc8cda21
88,진주문화재야행,국난극복! 진주목사의 귀환,2023.08.11 ~ 2023.08.13,경상남도 진주시 남강로 626 진주성  진주성 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7257f595-b58e-40d3-920d-c8f3b293be21
89,천안문화도시 페스타,"눈부신 천안, 당신의 찬란한 순간, 블릴리언트 천안!",2023.08.11 ~ 2023.08.15,충청남도 천안시 동남구 독립기념관로 1 독립기념관  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=3d7fa219-c296-4019-b7a8-6c990d1da030
90,한여름 단양 수상 페스티벌,"떠오르는 수상관광의 메카, 단양!",2023.08.11 ~ 2023.08.13,충청북도 단양군 단양읍 상진리 132-4 단양읍 상진 계류장,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f2fd7056-cff4-43e3-87d0-a05a15c9f0fa
91,둔내고랭지토마토축제,최고의 토마토와 함께하는 여름 가족 축제,2023.08.12 ~ 2023.08.14,강원특별자치도 횡성군 경강로 4708   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=467257b1-6626-4996-9149-378fb7321f29
92,물총축제,I AM ALIVE! 무더위를 날려줄 진짜 물총축제가 4년만에 돌아왔다,2023.08.12 ~ 2023.08.13,서울특별시 마포구 증산로 87   문화비축기지,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=83938788-563e-4444-8af4-96b99bdc5670
93,밀양문화재야행,,2023.08.12 ~ 2023.08.14,경상남도 밀양시 중앙로 324 영남루 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e9c96d86-989e-437c-bb57-0759c8563ae2
94,산골공연 예술잔치,"여름 밤, 산골무대에서 펼쳐지는 공연예술축제",2023.08.12 ~ 2023.08.13,충청북도 영동군 횡지구백길 5 자계예술촌  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=3ad113a0-024d-4aeb-868f-91173f990511
95,서대문독립축제,"광복의 기쁨을 나누고 독립과 자유, 평화의 가치를 미래세대와 함께 나누는 시민역사문화축제",2023.08.12 ~ 2023.08.15,서울특별시 서대문구 연희로 248 (연희동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9e1d5d29-6cae-41ec-8784-db7b75877c06
96,워터버블페스티벌,올여름 물총어때?,2023.08.12 ~ 2023.08.12,울산광역시 중구 성남동 219-16 젊음의 거리 아케이드 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9677f6a8-8149-4a1c-99ed-f5a0df121df4
97,대한민국 청년미술축제 ; 아트그라운드,"모두를 위한 열정, 재미, 영감이 어우러지는 트렌디한 청년 미술 축제!",2023.08.17 ~ 2023.08.20,서울특별시 종로구 관훈동 마루아트센터 특별관 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=8ba2b4e9-cbb3-4eae-a3f9-f3cc5205347c
98,대구 문화재 야행,,2023.08.18 ~ 2023.08.19,대구광역시 중구 경상감영길 99 감영공원  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=8b644768-b1e4-4071-a78f-9770ac19829d
99,부산수제맥주마스터스챌린지,수제 맥주 산업이 부산을 대표하는 전략 산업으로 자리매김할 수 있도록 하는 시민 참여형 ,2023.08.18 ~ 2023.08.20,부산광역시 해운대구 수영강변대로 120 영화의전당  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9368f6c0-eea2-4f94-aaa1-638085ff2161
100,피란수도 부산 문화재 야행 '1023일을 걷는 시간',"금순이·금동이와 함께하는 한여름 밤, 1023일을 걷는 시간!",2023.08.18 ~ 2023.08.19,부산광역시 중구 대청로 104 부산근현대역사관 별관  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a50f6668-892d-4997-97fd-6ec7be5b04af
101,오감만족 문경새재맨발페스티벌,최고의 힐링여행~ 맨발로 즐겨요!,2023.08.19 ~ 2023.08.19,경상북도 문경시 문경읍 새재로 932 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=cda7e731-7f5c-4868-af35-9c9322aa17db
102,푸드앤비어 페스티벌,"시민, 지역상권과 함께 즐기는 고양시의 주민중심형, 지역상권연계형 종합 축제",2023.08.19 ~ 2023.08.27,경기도 고양시 일산동구 백석동 강송로 33 일산벨라시타,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=19cc361a-c05f-4763-bdde-4158eba088e2
103,영동포도축제,,2023.08.24 ~ 2023.08.27,충청북도 영동군 영동힐링로 117   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ef1fa412-0332-45ad-b06e-9d39d70f1fec
104,부산국제코미디페스티벌,,2023.08.25 ~ 2023.09.03,부산광역시 해운대구 수영강변대로 120 영화의전당  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=00a303d7-0d15-4323-9315-912eba7727dc
105,안양공공예술프로젝트,,2023.08.25 ~ 2023.11.02,경기도 안양시 만안구 안양동 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=67584c27-a881-451a-9947-fa08e54b1b72
106,안양공공예술프로젝트,,2023.08.25 ~ 2023.11.02,경기도 안양시 만안구 안양동 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=67584c27-a881-451a-9947-fa08e54b1b72
107,울산조선해양축제 ,세계적인 조선해양관광도시인 울산 동구의 우수함을 알리는 울산조선해양축제,2023.08.25 ~ 2023.08.26,울산광역시 동구 해수욕장10길  동구 일산해수욕장 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=abfe6e2e-06b0-4beb-a6ff-1708f242c84d
108,청주문화재야행,"주성야독(舟城夜讀), 달빛 아래 청주를 읽다.",2023.08.25 ~ 2023.08.27,"충청북도 청주시 상당구 남사로 117   청주 중앙공원, 용두사지철당간, 청주시청 임시청사(청녕각), 성안길, 남주·남문로 한복문화의 거리",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=4f331589-71f3-4794-bd67-cd64ac8ed499
109,시흥시민축구단 워터 페스티벌,트로트 가수 진성과 함께 하는 시흥시민축구단 물놀이 행사	,2023.08.26 ~ 2023.08.26,경기도 시흥시 역전로 2 시흥시 육상경기장  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f0e05f06-7c4e-4dbf-ab26-f4587a5a9112
110,인천개항장 문화재 야행,"오래된 것과 다시 만난 ""2023 인천 개항장 문화재 야행""",2023.08.26 ~ 2023.10.22,인천광역시 중구 신포로27번길 80 중구청  인천 개항장 문화지구 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=387cfe24-b54f-464d-a06d-c1599d7eba59
111,추풍령가요제,,2023.08.26 ~ 2023.08.26,충청북도 영동군 영동읍 영동황간로 123 영동레인보우 힐링관광지 특설무대,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7f4e4638-f10a-4d7f-9e4c-3c4da338fff5
112,한탄강 지오 페스티벌,한탄강 협곡에서 즐기는 최고의 음악축제,2023.08.26 ~ 2023.08.27,경기도 포천시 영북면 대회산리 412,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=bd098682-b1e5-41b5-a2c8-4160c782d62e
113,대구치맥페스티벌,"다양한 치킨과 맥주를 비롯해 공연, 음악, 이색 체험을 즐기는 문화관광축제",2023.08.30 ~ 2023.09.03,대구광역시 달서구 공원순환로 36 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=fc491eba-6273-4ae0-a6bd-aee54fcac631
114,괴산고추축제 ,"괴산의 특산물 청결고추를 소재로 체험, 전시, 경연이 혼합된 종합형 문화관광축제",2023.08.31 ~ 2023.09.03,충청북도 괴산군 임꺽정로 113   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=06c50edb-84cd-4cf6-992e-52ba4827d438
115,국토정중앙 양구 배꼽축제,,2023.09.01 ~ 2023.09.03,강원특별자치도 양구군 양구읍 박수근로 366-33 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=aa65052c-a06d-4b98-ba9e-4b30c8150bf6
116,대한민국 독서대전,,2023.09.01 ~ 2023.09.03,경기도 고양시 일산동구 호수로 595 고양꽃전시관  일산호수공원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=79f3d2d9-06c1-4d18-9a0e-a7d38aa0857e
117,더 라이프 스타일 서울 ,서울의 산업·리빙·관광·문화를 대표하는 행사들의 엄브렐러 브랜드,2023.09.01 ~ 2023.09.30,"서울특별시 중구 을지로 281   서울시(DDP, 노들섬, 삼청동, 코엑스, 용산 등)",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=684c855f-d93a-41bb-ab55-7f336f6eb5d0
118,익산보석문화도시 AR보물찾기 진!짜! 축제," 보석도시 익산, 익산은 보석이다!",2023.09.01 ~ 2023.09.03,전라북도 익산시 선화로63길 16 PR쥬얼리  영등동 익산귀금속보석산업단지 및 익산보석박물관 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=5ae277af-e537-4df4-835f-d4f8d91845f0
119,장애인문화예술축제 A+ Festival,다름의 가치 속에 피어나 그곳에서 비로소 빛을 발하는 장애인문화예술축제!,2023.09.01 ~ 2023.09.03,서울특별시 영등포구 양산로 57-5 양평동 이노플렉스  401호 청와대 헬기장 및 춘추관 일대,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=51252506-ffad-4899-9147-4ebfe7b93101
120,제주레저힐링축제,낮에는 흥미진진한 레저 체험을 밤에는 낭만가득한 힐링과 감동을,2023.09.01 ~ 2023.09.03,제주특별자치도 제주시 조함해안로 525   함덕해수욕장 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=c6558e71-3ba8-49fb-9e9c-fb1d99532a94
121,청양고추구기자 문화축제,,2023.09.01 ~ 2023.09.03,충청남도 청양군 청양읍 은천동길 16-6 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=38d1282f-fcc0-4dbc-afaf-c02648fe77af
122,무주반딧불축제,청정환경 지표인 반딧불이를 소재로 자연과 인간이 공존하는 삶의 가치를 공유하는 문화관광축,2023.09.02 ~ 2023.09.10,전라북도 무주군 한풍루로 326-14 등나무운동장  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=0e803334-1e3d-4c57-9005-e4ec9c87657f
123,대전 국제 와인 EXPO,와인과 문화가 함께하는 대한민국 대표 와인 축제	,2023.09.03 ~ 2023.09.10,대전광역시 유성구 엑스포로 107 대전컨벤션센터  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=5a005845-f39d-4716-8b7c-a269cc0ffe56
124,지용제 ,"정지용 시인을 기억하고, 문학정신을 계승하기 위한 문화관광축제",2023.09.07 ~ 2023.09.10,충청북도 옥천군 향수길 56   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=431cbc06-f208-4171-afd4-a7e7a5983806
125,창덕궁 달빛기행,｢창덕궁 달빛기행｣은 유네스코 세계문화유산 창덕궁에서 펼쳐지는 대표적인 고품격 문화행사이,2023.09.07 ~ 2023.10.22,서울특별시 종로구 율곡로 99   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=c9d13813-7b3c-49d0-be55-f934f1e0abaf
126,함양 산삼축제,,2023.09.07 ~ 2023.09.12,경상남도 함양군 함양읍 필봉산길 49 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=187271d0-9f7f-450f-a502-fe0b46f4e48c
127,공주 문화재야행,"미드나잇 인 공주, 1926 ",2023.09.08 ~ 2023.09.10,"충청남도 공주시 우체국길 8   공주 원도심 제민천 일원 근대 문화재(구 공주읍사무소, 제일교회 등)",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=59539b0a-79cc-451a-b3dc-aa682dcdf4de
128,명량대첩축제,불멸의 명량! 호국의 울돌목! (충은 백성을 향한다!),2023.09.08 ~ 2023.09.10,"전라남도 해남군 관광레저로 12 전라우수영명량대첩공원  울돌목 일원(해남 우수영관광지, 진도 녹진관광지)",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7dfae381-566f-4f5e-9d5e-650a90d24d97
129,서울국제작가축제,언어의 다리를 건너-Crossing the Bridge of Language,2023.09.08 ~ 2023.09.13,"서울특별시 용산구 양녕로 445   노들섬 라이브하우스, 다목적홀 숲, 노들갤러리 2관",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=3ad10529-0e77-425b-993c-b7c1e2e187dc
130,평창효석문화제,,2023.09.08 ~ 2023.09.17,강원특별자치도 평창군 봉평면 이효석길 157 (봉평면),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=8c369704-303d-41fa-b6fa-f63bf8c5e96b
131,천안뮤직클라우드페스티벌,시만과 함께하는 충남 최초의 인디 뮤직페스트벌! 	,2023.09.09 ~ 2023.09.09,충청남도 천안시 서북구 불당동 192-3번지 천안시민체육공원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e49b513a-e74b-477f-b447-5f38dedecd19
132,헬스조선 힐링 골프축제,건강과 힐링을 선사하는 제2회 헬스조선 힐링 골프축제,2023.09.11 ~ 2023.09.14,경상북도 영덕군 동해대로 4265-43 오션 비치 골프 앤 리조트  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=53324c6b-6c40-44ed-8554-005359add84d
133,경기국제코스프레페스티벌,,2023.09.14 ~ 2023.09.17,경기도 부천시 길주로 1   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=390c31eb-9ce1-410b-a958-6a2657c9455a
134,부천국제만화축제,"만화를 매개로 화려한 볼거리, 놀거리, 먹거리를 즐길 수 있는 글로벌 만화 축제",2023.09.14 ~ 2023.09.17,경기도 부천시 길주로 1   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=883fb3cd-8ce1-482b-9e57-02947b44f038
135,정선아리랑제,정선아리랑과 다양한 아리랑을 비롯해 다채로운 공연 예술과 체험을 즐길 수 있는 축제,2023.09.14 ~ 2023.09.17,강원특별자치도 정선군 정선읍 봉양리 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=98cca56b-209b-44a7-9a41-a89629ef0242
136,금호강바람소리길축제,,2023.09.15 ~ 2023.09.17,대구광역시 북구 산격동 14-45 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=d6890694-d72b-4c54-b937-596dc1f7b243
137,도시캠핑대전,"캠핑과 박람회, 공연이 어우러진 2박 3일간의 환상적인 축제",2023.09.15 ~ 2023.09.17,대전광역시 유성구 엑스포로 1   대전 갑천변 일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=1d26252f-e246-4f3d-9db6-e81e9ef5a860
138,부여 문화재 야행,2023 부여 문화재 야행 성왕 사비로와,2023.09.15 ~ 2023.09.17,충청남도 부여군 정림로 83 정림사지  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=6d336733-0aff-46ee-8413-89db8fc7e832
139,산청세계전통의약항노화엑스포,"미래의 약속, 세계속의 전통의약",2023.09.15 ~ 2023.10.19,경상남도 산청군 동의보감로555번길 45-6 동의보감촌(엑스포주제관)  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=4ae7ea3f-304c-4e1f-b0b0-38ae6d7591d4
140,소래포구 축제,"소래포구 수산물을 주제로한 체험행사, 다양한 문화공연 및 이벤트",2023.09.15 ~ 2023.09.17,인천광역시 남동구 장도로 86-17 (논현동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=2d36bbb3-494b-4ba6-be8b-76c611860558
141,영광불갑산상사화축제,"상사화 꽃길 속으로, 천년의 사랑 속으로	",2023.09.15 ~ 2023.09.24,전라남도 영광군 불갑면 불갑사로 450 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=50f59373-bf29-455b-8c92-50c4e76f58f5
142,익산 서동축제,,2023.09.15 ~ 2023.09.17,전라북도 익산시 금마면 고도9길 41-14 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=1429937d-d447-4586-a59f-cf36e7153c63
143,전국생활문화축제,"일상공감, ‘공감한DAY’",2023.09.15 ~ 2023.09.17,경상남도 진주시 남강로 626 진주성  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a318d45b-be31-4677-b731-f301d4a56340
144,전주세계소리축제,,2023.09.15 ~ 2023.09.24,전라북도 전주시 덕진구 소리로 31 소리문화전당  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=53c52570-a9de-4e11-8a33-b363c1b2b724
145,대한민국 청년의 날,"세계의 대전환, 더 나은 미래를 위한 항해 ",2023.09.16 ~ 2023.09.16,서울특별시 영등포구 여의도동 17 여의도공원 문화의마당 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=41c6d57e-9241-4c59-8054-762470cbe3e1
146,우리꽃 전시회,국민에게 우리의 꽃처럼 활짝! 우리도 꽃처럼 활짝 주제로 일상 속 힐링,2023.09.19 ~ 2023.09.24,경기도 포천시 광릉수목원로 509   국립수목원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a75eaf3c-d7b6-4223-a6d5-83d225db5c70
147,우선멈‘춤’ 안양시민축제,,2023.09.20 ~ 2023.09.24,경기도 안양시 동안구 관평로 149 중앙공원관리부속  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=a71f1560-7c67-4456-87e4-3c311dfb4ca0
148,서울뷰티위크,서울시가 주최하는 라이프스타일 박람회 ,2023.09.21 ~ 2023.09.24,서울특별시 중구 을지로 281   서울 동대문디지털플라자 DDP ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=68d95301-d373-47fc-a766-db22575c8361
149,경남고성공룡세계엑스포,,2023.09.22 ~ 2023.10.29,경상남도 고성군 당항만로 1116   당항포관광지,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ce010596-12fe-43cb-9386-3f09a4397ef1
150,과천공연예술축제 ,"모두의 마음과 마음을 터놓을 터, 2023 과천공연예술축제",2023.09.22 ~ 2023.09.24,경기도 과천시 통영로 5 과천시민회관  과천시민광장(과천시민회관 옆 잔디마당)  및 과천시민회관 일대,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=fd76dc4b-f246-4e1b-a7ef-a0a0619ad08b
151,부평풍물대축제,부평 지역의 특성화된 문화 콘텐츠인 '풍물'을 테마로 한 전국 최대 거리축제,2023.09.22 ~ 2023.09.24,인천광역시 부평구 부평대로 166 원평빌딩  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e7f655b5-b2d3-4923-90ba-6d7ce678b381
152,수성못페스티벌,"수성못을 배경으로 지역주민과 주변 상권, 예술인들이 함께 만들어가는 공연문화축제",2023.09.22 ~ 2023.09.24,대구광역시 수성구 무학로 112 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f84c717a-ec29-48f7-8980-4b33e3a346b8
153,시흥갯골축제,세상에서 가장 큰 생태예술놀이터,2023.09.22 ~ 2023.09.24,경기도 시흥시 동서로 287 갯골생태공원  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=0790d425-2b40-44ef-92ea-32c895e7b28e
154,원주 댄싱카니발,"퍼레이드형 퍼포먼스 경연 댄싱카니과 예술, 놀이, 먹거리를 즐기자!",2023.09.22 ~ 2023.09.24,강원특별자치도 원주시 단구로 170 (명륜동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=3c487c48-38f3-4651-8934-2bd5c953436e
